Date,Type,Link
2026-02-18 09:27:05,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7428151195657011200
2026-02-16 12:25:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7426370212054253568
2026-02-14 09:45:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7428148339315003392
2026-02-13 00:49:44,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7426746520516968448
2026-02-09 14:03:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425629365142687744?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7425629365142687744%2C7425644203801690112%29
2026-02-07 09:16:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7422934137130594304?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7422934137130594304%2C7423676708144373760%29
2026-02-07 09:15:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7422934137130594304?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7422934137130594304%2C7422968141573500928%29
2026-02-07 09:14:13,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7425599462519250944
2026-02-06 09:25:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424787541993902081
2026-02-06 09:25:07,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425259424161685504
2026-02-04 09:29:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7423979992654602240?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7423979992654602240%2C7424008517960966144%29
2026-01-26 14:26:35,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7420319397564833792
2026-01-24 12:59:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7420796809716953088
2026-01-24 00:38:25,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7420203644958142464
2026-01-24 00:38:11,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7419076222355419136
2026-01-14 09:51:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7409340788511342592
2026-01-06 23:11:15,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7414401218904772608
2026-01-04 01:02:15,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7404923578095403008
2026-01-03 11:49:34,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7412903978419638272
2025-12-29 22:12:00,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7411523560403267584
2025-12-28 17:50:55,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7411091211542867968
2025-12-24 15:47:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7409135679747686400?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7409135679747686400%2C7409172911787307009%29
2025-12-24 15:46:32,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7408899490906124288
2025-12-24 08:44:06,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7408300518139158528
2025-12-18 23:11:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406960267965898752
2025-12-12 15:10:49,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7405249853703868417
2025-12-08 07:41:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7402663129588862976?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7402663129588862976%2C7402674711622565888%29
2025-12-02 16:57:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7396940919104495618
2025-12-02 16:27:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7395072937386741761
2025-12-01 04:42:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343699218340954112?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7343699218340954112%2C7343712437419847680%29
2025-12-01 04:42:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343699218340954112?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7343699218340954112%2C7343727478831480833%29
2025-12-01 04:41:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343699218340954112?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7343699218340954112%2C7343702232258723840%29
2025-11-30 15:45:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7400594711528329216?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7400594711528329216%2C7400881075729924096%29
2025-11-30 15:45:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7400594711528329216?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7400594711528329216%2C7400787694320177152%29
2025-11-29 17:54:41,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7400564207303159808
2025-11-28 17:08:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7397194108798349312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7397194108798349312%2C7397199631832715264%29
2025-11-26 19:26:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7399198692571979776?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7399198692571979776%2C7399278952428490752%29
2025-11-25 17:16:25,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7399129790349336577?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7399129790349336577%2C7399133520234856449%29
2025-11-25 17:11:13,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7399058778408570880
2025-11-19 13:17:32,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7395161285870530560
2025-11-14 01:44:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391225335964545024
2025-11-11 12:44:54,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7393786665879789568
