School Name,Start Date,End Date,Notes,Degree Name,Activities
Lancaster University,Sep 2024,Sep 2025,,"Master of Science - MSc, Data Science",
Nanyang Technological University Singapore,Aug 2022,May 2023,,Diploma in International Studies,
Loughborough University,Oct 2020,Jun 2024,,Bachelor of Science - BS,
Runshaw College,2018,2020,"Mathematics, Computer Science, and Chemistry ",A-levels,
